state,abbr,premDeath,poorHealth,poorPhyHealth,poorMenHealth,lowBWeight,smoking,obesity,inactivity,excessDrinking,drivingDeaths,std,teenBirths,uninsured,primaryCare,dentists,hospitalStays,diabetes,mamScreening,HSgraduation,college,unemployment,childrenPoverty,singleParent,crime
Alabama,AL,49,48,47,49,47,43,48,45,6,11,49,42,26,46,49,44,35,26,39,45,18,46,46,34
Alaska,AK,35,20,22,8,1,39,27,12,38,29,50,34,48,13,3,10,49,50,48,24,18,4,21,50
Arizona,AZ,25,33,22,27,4,15,6,13,22,8,35,45,43,40,32,8,46,22,40,33,39,43,38,33
Arkansas,AR,46,45,45,46,34,44,47,49,7,16,45,49,38,45,51,45,39,46,18,50,33,47,41,42
California,CA,5,43,36,34,4,2,4,4,28,18,28,22,42,25,8,9,44,43,20,35,48,34,23,36
Colorado,CO,11,17,11,11,34,19,1,1,32,36,25,27,32,20,11,5,39,36,42,6,26,15,7,26
Connecticut,CT,4,3,8,11,19,3,9,19,37,35,14,4,9,13,6,27,28,13,15,16,38,8,20,20
Delaware,DE,36,13,18,18,34,24,26,29,47,44,38,21,7,36,48,20,28,6,28,36,23,22,43,47
District of Columbia,DC,42,11,5,8,49,9,2,5,46,21,1,41,2,1,1,12,46,22,51,1,44,49,51,1
Florida,FL,28,35,36,43,34,24,15,26,17,13,20,29,49,33,38,31,28,10,44,40,30,37,45,44
Georgia,GA,34,34,22,18,34,26,29,34,11,4,44,38,44,45,47,34,28,33,47,37,41,44,42,31
Hawaii,HI,10,24,5,6,19,5,3,7,43,47,32,25,3,13,4,1,28,33,25,16,8,7,14,16
Idaho,ID,18,28,30,27,4,14,21,10,13,20,7,23,36,47,21,3,43,43,27,30,15,23,2,8
Illinois,IL,21,31,21,18,19,30,21,24,48,40,43,25,23,20,14,41,28,22,23,19,49,25,24,37
Indiana,IN,39,37,30,39,19,47,41,43,17,6,31,31,31,39,43,42,35,36,7,39,33,28,28,27
Iowa,IA,16,5,3,2,4,20,37,34,49,3,16,17,6,30,26,24,5,16,1,7,6,12,9,15
Kansas,KS,27,16,8,6,4,20,39,31,14,28,18,33,22,29,38,32,20,22,17,10,11,18,12,30
Kentucky,KY,45,49,50,49,34,50,45,44,5,12,19,44,29,45,27,51,28,40,10,44,44,40,34,10
Louisiana,LA,48,47,43,33,49,42,50,46,16,25,48,46,38,45,43,49,43,40,45,49,15,48,49,45
Maine,ME,20,18,22,34,4,32,25,17,28,31,3,6,13,3,34,22,8,6,13,31,23,17,26,2
Maryland,MD,23,14,8,14,34,6,28,24,15,33,30,14,11,9,12,19,35,17,20,13,22,5,33,43
Massachusetts,MA,2,8,11,14,19,4,6,17,43,10,11,2,1,4,2,37,3,1,17,4,29,13,17,38
Michigan,MI,32,27,30,39,19,34,42,22,35,15,37,18,18,18,17,39,20,16,36,26,47,35,31,40
Minnesota,MN,1,1,3,2,4,11,16,9,39,14,9,8,5,8,19,7,8,13,35,3,9,6,5,9
Mississippi,MS,51,50,45,47,51,48,51,50,4,2,51,51,40,51,51,48,43,47,41,47,46,51,50,18
Missouri,MO,40,36,36,43,19,45,40,42,25,37,34,32,26,36,40,40,20,33,11,29,18,30,30,39
Montana,MT,33,21,22,18,4,26,12,20,36,51,17,24,47,25,18,11,43,22,22,14,14,26,11,19
Nebraska,NE,12,10,5,5,4,23,34,30,43,38,13,20,17,32,14,25,20,33,9,6,3,16,7,17
Nevada,NV,30,40,36,39,19,39,13,15,34,25,21,37,50,50,34,17,48,50,50,48,51,31,39,49
New Hampshire,NH,3,6,13,18,4,17,20,14,32,21,2,1,14,6,17,16,3,2,9,12,10,1,4,4
New Jersey,NJ,9,28,18,18,19,8,9,34,22,7,8,5,23,10,5,35,39,36,6,21,41,14,13,23
New Mexico,NM,41,39,43,34,34,33,5,11,10,34,46,50,46,29,32,14,51,50,46,42,27,50,48,46
New York,NY,7,30,22,27,19,15,8,28,25,5,41,7,14,15,8,30,20,26,38,25,36,33,35,32
North Carolina,NC,31,41,30,27,34,37,33,39,8,23,42,35,37,36,43,28,5,10,26,29,39,39,40,28
North Dakota,ND,22,7,1,1,4,26,36,38,50,50,24,11,12,21,29,26,20,10,15,2,1,2,3,11
Ohio,OH,38,32,36,43,34,41,38,41,31,39,33,28,19,26,32,46,35,40,24,32,31,31,36,24
Oklahoma,OK,47,44,47,48,19,49,46,47,8,25,29,47,45,45,36,43,47,51,35,43,11,36,32,41
Oregon,OR,17,24,36,18,1,11,19,2,20,16,10,18,34,8,11,4,28,33,49,19,36,27,18,12
Pennsylvania,PA,29,26,22,34,19,36,30,32,30,31,27,11,10,18,22,36,20,26,12,34,31,23,27,29
Rhode Island,RI,13,19,22,34,19,13,18,32,40,48,22,9,16,5,25,33,20,10,38,27,50,29,44,13
South Carolina,SC,43,38,30,39,47,38,43,40,12,49,47,40,41,39,45,21,20,13,43,39,35,45,47,48
South Dakota,SD,26,4,1,2,4,26,35,37,40,40,36,30,20,25,36,29,35,16,33,19,2,20,21,21
Tennessee,TN,44,45,47,27,34,45,44,48,1,9,40,43,29,31,45,47,20,33,6,46,41,42,37,51
Texas,TX,24,42,36,18,19,17,30,27,20,23,39,48,51,48,40,38,39,43,3,42,17,38,29,35
Utah,UT,14,11,18,14,4,1,14,3,1,1,5,16,25,49,17,2,35,40,29,8,4,9,1,6
Vermont,VT,6,2,13,27,4,10,9,8,40,43,6,3,4,2,21,13,8,6,3,24,4,10,16,3
Virginia,VA,19,21,13,11,19,20,24,21,17,19,26,15,21,29,23,23,9,26,22,9,13,11,14,5
Washington,WA,8,23,30,18,1,7,21,6,24,46,12,13,26,15,9,6,20,33,32,11,28,20,10,22
West Virginia,WV,50,50,51,51,34,51,49,50,3,29,4,39,35,25,47,50,35,46,30,51,18,41,25,25
Wisconsin,WI,15,9,13,10,4,30,30,16,51,45,23,10,8,16,25,15,3,6,4,22,23,18,18,14
Wyoming,WY,37,14,13,14,34,35,16,22,25,40,15,36,33,37,29,18,50,46,31,20,6,3,6,7
