school,abbr,ftEmployed,ftGradschool,ptEmployed,gapYear,jobSearch,careerFTE,careerServices,orgsRecruiting,operatingBudget,employerPartners,totalCostAttendance,pellGrants,graduatingClassSize,totalSchoolSize,totalRevenue,retentionRate,studentFacultyRatio,graduationRate,financialAidFirst,financialAidAll,fulltimeFaculty,numberApplicants,admitRate,admitYield
Amherst College,AMH,0,0,0,0,0,0,0,0,0,0,61544,20,464,1785,367027232,98,8,96,65,1817,219,7927,14,41
Bard College,BAR,0,0,0,0,0,0,0,0,0,0,62572,19,900,2873,143581298,88,10,76,75,2022,174,5466,38,24
Barnard College,BAR,0,0,0,0,0,0,0,0,0,0,61512,18,623,2498,171791000,98,10,92,49,2504,207,5606,21,50
Bates College,BAT,0,0,0,0,0,0,0,0,0,0,61000,11,436,1791,116431055,92,10,92,43,1753,161,5243,24,39
Bowdoin College,BOW,0,0,0,0,0,0,0,0,0,0,59900,14,458,1795,274674000,97,9,92,50,1839,198,7052,15,47
Bryn Mawr College,BRY,0,0,0,0,0,0,0,0,0,0,59760,19,550,1328,191689000,91,8,87,79,1322,170,2708,40,34
Bucknell University,BUC,0,0,0,0,0,0,0,0,0,0,61060,11,879,3532,269432000,94,10,91,55,3536,399,7947,30,40
Carleton College,CAR,0,0,0,0,0,0,0,0,0,0,60425,12,496,2045,188889525,96,9,93,77,2055,233,7045,21,36
Centre College,CEN,0,0,0,0,0,0,0,0,0,0,48020,16,295,1381,91114040,90,11,82,97,1344,122,2533,69,22
Claremont McKenna College,CLA,0,0,0,0,0,0,0,0,0,0,62010,12,320,1316,176199000,96,9,91,53,1264,160,5518,12,52
Colby College,COL,0,0,0,0,0,0,0,0,0,0,59110,11,510,1820,177992000,93,10,91,47,1863,176,5407,26,34
Colgate University,COL,0,0,0,0,0,0,0,0,0,0,60050,12,692,2890,242877375,93,9,92,41,2850,303,8374,26,34
College of the Holy Cross,COL,0,0,0,0,0,0,0,0,0,0,57832,16,704,2912,223352548,95,10,91,72,2926,276,7115,33,31
Colorado College,COL,0,0,0,0,0,0,0,0,0,0,57400,10,551,2041,117093057,96,10,88,53,2004,177,5780,22,41
Connecticut College,CON,0,0,0,0,0,0,0,0,0,0,60780,13,446,1915,131427000,88,9,84,53,1926,204,4837,36,29
Davidson College,DAV,0,0,0,0,0,0,0,0,0,0,57458,13,461,1788,204179128,96,10,92,62,1790,174,4745,26,40
Dickinson College,DIC,0,0,0,0,0,0,0,0,0,0,60183,12,526,2396,159581468,90,10,84,72,2386,226,5826,44,24
Franklin and Marshall College,FRA,0,0,0,0,0,0,0,0,0,0,60765,14,590,2297,149845111,92,9,85,61,2365,198,5174,39,29
Grinnell College,GRI,0,0,0,0,0,0,0,0,0,0,56354,21,334,1721,272781000,93,9,88,90,1674,195,3979,35,30
Hamilton College,HAM,0,0,0,0,0,0,0,0,0,0,59590,14,491,1926,210907000,94,9,89,58,1884,202,5017,27,36
Harvey Mudd College,HAR,0,0,0,0,0,0,0,0,0,0,63860,13,189,807,93370530,99,8,84,75,784,95,3539,18,34
Haverford College,HAV,0,0,0,0,0,0,0,0,0,0,61898,15,299,1187,137896756,98,8,92,57,1205,140,3585,23,39
Kenyon College,KEN,0,0,0,0,0,0,0,0,0,0,60070,10,414,1705,115275028,96,9,87,64,1667,157,4054,38,31
Lafayette College,LAF,0,0,0,0,0,0,0,0,0,0,59750,11,566,2486,207520499,91,10,88,63,2488,229,6766,34,27
Macalester College,MAC,0,0,0,0,0,0,0,0,0,0,57478,17,536,2039,174532000,95,10,87,81,2070,192,6683,34,24
Middlebury College,MID,0,0,0,0,0,0,0,0,0,0,59470,11,888,2495,362507979,95,9,93,45,2474,294,8847,17,39
Mount Holyoke College,MOU,0,0,0,0,0,0,0,0,0,0,55496,20,619,2183,181784125,89,10,85,79,2325,242,3732,47,30
Oberlin College,OBE,0,0,0,0,0,0,0,0,0,0,62132,11,731,2894,241730719,93,9,88,88,2930,338,7438,30,35
Occidental College,OCC,0,0,0,0,0,0,0,0,0,0,63363,21,555,2055,143601589,93,10,83,69,2070,176,6072,42,21
Pitzer College,PIT,0,0,0,0,0,0,0,0,0,0,61416,16,255,1081,73647382,91,12,81,41,1084,82,4115,15,44
Pomona College,POM,0,0,0,0,0,0,0,0,0,0,59730,17,380,1610,282360000,97,7,95,68,1607,210,7153,14,40
Rhodes College,RHO,0,0,0,0,0,0,0,0,0,0,53422,14,368,2027,98849160,93,11,75,95,1915,173,3555,58,27
Scripps College,SCR,0,0,0,0,0,0,0,0,0,0,61370,13,224,990,91592867,93,10,88,61,945,88,2378,36,32
Sewanee-The University of the South,SEW,0,0,0,0,0,0,0,0,0,0,47970,18,384,1620,102932749,91,11,86,78,1511,153,3285,60,25
Skidmore College,SKI,0,0,0,0,0,0,0,0,0,0,60900,15,625,2684,168943000,93,9,84,57,2660,260,8285,35,23
Smith College,SMI,0,0,0,0,0,0,0,0,0,0,60167,23,885,2606,362582539,94,9,85,73,2664,316,4403,43,34
Soka University of America,SOK,0,0,0,0,0,0,0,0,0,0,43128,30,119,412,119106000,96,9,87,100,435,47,422,43,61
