state,abbr,region,subRegion
Amherst College,AMH,Northeast,East South Central
Bard College,BAR,Northeast,Pacific
Barnard College,BRD,Northeast,Mountain
Bates College,BAT,Northeast,West South Central
Bowdoin College,BOW,Northeast,Pacific
Bryn Mawr College,BRY,Northeast,Mountain
Bucknell University,BUC,Northeast,New England
Carleton College,CAR,Midwest,South Atlantic
Centre College,CEN,West,South Atlantic
Claremont McKenna College,CLA,West,South Atlantic
Colby College,CLB,Northeast,South Atlantic
Colgate University,CLG,Northeast,Pacific
College of the Holy Cross,CHC,Northeast,Mountain
Colorado College,CLR,West,East North Central
Connecticut College,CON,Northeast,East North Central
Davidson College,DAV,West,West North Central
Dickinson College,DIC,Northeast,West North Central
Franklin and Marshall College,FRA,Northeast,East South Central
Grinnell College,GRI,Midwest,West South Central
Hamilton College,HAM,Northeast,New England
Harvey Mudd College,HAR,West,South Atlantic
Haverford College,HAV,Northeast,New England
Kenyon College,KEN,Midwest,East North Central
Lafayette College,LAF,Northeast,West North Central
Macalester College,MAC,Midwest,East South Central
Middlebury College,MID,Northeast,West North Central
Mount Holyoke College,MOU,Northeast,Mountain
Oberlin College,OBE,Midwest,West North Central
Occidental College,OCC,West,Mountain
Pitzer College,PIT,West,New England
Pomona College,POM,West,Middle Atlantic
Rhodes College,RHO,West,Mountain
Scripps College,SCR,West,Middle Atlantic
Sewanee-The University of the South,SEW,West,South Atlantic
Skidmore College,SKI,Northeast,West North Central
Smith College,SMI,Northeast,East North Central
Soka University of America,SOK,West,West South Central
Swarthmore College,SWA,Northeast,Pacific
Trinity College,TRI,Northeast,Middle Atlantic
Union College,UNI,Northeast,New England
University of Richmond,UNI,West,South Atlantic
Vassar College,VAS,Northeast,West North Central
Washington and Lee University,WAS,West,East South Central
Wellesley College,WEL,Northeast,West South Central
Wesleyan University,WES,Northeast,Mountain
Whitman College,WHI,West,New England
Williams College,WIL,Northeast,South Atlantic
Denison University,DEN,Midwest,Pacific
Gettysburg College,GET,Northeast,South Atlantic
DePauw University,DEP,Midwest,East North Central
Furman University,FUR,South,Mountain
